"Age","l.x.","Country","Year","Sex"
95,0.028229,"BEL",2003,1
100,0.003042,"BEL",2003,1
105,0.000132,"BEL",2003,1
0,1,"BEL",2003,2
1,0.99688,"BEL",2003,2
5,0.995422,"BEL",2003,2
10,0.994989,"BEL",2003,2
15,0.994445,"BEL",2003,2
20,0.993303,"BEL",2003,2
25,0.991732,"BEL",2003,2
30,0.989664,"BEL",2003,2
35,0.987529,"BEL",2003,2
40,0.984208,"BEL",2003,2
45,0.978606,"BEL",2003,2
50,0.968807,"BEL",2003,2
55,0.953752,"BEL",2003,2
60,0.932171,"BEL",2003,2
65,0.900731,"BEL",2003,2
70,0.857051,"BEL",2003,2
75,0.788147,"BEL",2003,2
80,0.671163,"BEL",2003,2
85,0.489428,"BEL",2003,2
90,0.265073,"BEL",2003,2
95,0.087498,"BEL",2003,2
100,0.014387,"BEL",2003,2
105,0.001188,"BEL",2003,2
0,1,"BEL",2004,1
1,0.9964655,"BEL",2004,1
5,0.994952,"BEL",2004,1
10,0.994405,"BEL",2004,1
15,0.9938285,"BEL",2004,1
20,0.9912175,"BEL",2004,1
25,0.9861115,"BEL",2004,1
30,0.98124,"BEL",2004,1
35,0.9762195,"BEL",2004,1
40,0.970343,"BEL",2004,1
45,0.9604875,"BEL",2004,1
50,0.9443495,"BEL",2004,1
55,0.919022,"BEL",2004,1
60,0.8815445,"BEL",2004,1
65,0.827104,"BEL",2004,1
70,0.7525965,"BEL",2004,1
75,0.6415885,"BEL",2004,1
80,0.487567,"BEL",2004,1
85,0.3045265,"BEL",2004,1
90,0.133943,"BEL",2004,1
95,0.0344145,"BEL",2004,1
100,0.0043145,"BEL",2004,1
105,0.0002405,"BEL",2004,1
0,1,"BEL",2004,2
1,0.9969345,"BEL",2004,2
5,0.995666,"BEL",2004,2
10,0.995189,"BEL",2004,2
15,0.994695,"BEL",2004,2
20,0.9935815,"BEL",2004,2
25,0.9922235,"BEL",2004,2
30,0.9905935,"BEL",2004,2
35,0.9883585,"BEL",2004,2
40,0.984894,"BEL",2004,2
45,0.979342,"BEL",2004,2
50,0.970116,"BEL",2004,2
55,0.954726,"BEL",2004,2
60,0.9341015,"BEL",2004,2
65,0.905081,"BEL",2004,2
70,0.8636815,"BEL",2004,2
75,0.7977295,"BEL",2004,2
80,0.68703,"BEL",2004,2
85,0.5115915,"BEL",2004,2
90,0.2885965,"BEL",2004,2
95,0.1014175,"BEL",2004,2
100,0.0190955,"BEL",2004,2
105,0.0018445,"BEL",2004,2
0,1,"BEL",2005,1
1,0.996508,"BEL",2005,1
5,0.9948075,"BEL",2005,1
10,0.994206,"BEL",2005,1
15,0.993539,"BEL",2005,1
20,0.9912835,"BEL",2005,1
25,0.9867365,"BEL",2005,1
30,0.9821905,"BEL",2005,1
35,0.9771865,"BEL",2005,1
40,0.971261,"BEL",2005,1
45,0.961708,"BEL",2005,1
50,0.9458925,"BEL",2005,1
55,0.9218215,"BEL",2005,1
60,0.884442,"BEL",2005,1
65,0.83001,"BEL",2005,1
70,0.756815,"BEL",2005,1
75,0.648298,"BEL",2005,1
80,0.498133,"BEL",2005,1
85,0.31544,"BEL",2005,1
90,0.1411905,"BEL",2005,1
95,0.0368945,"BEL",2005,1
100,0.004788,"BEL",2005,1
105,0.0001435,"BEL",2005,1
0,1,"BEL",2005,2
1,0.996977,"BEL",2005,2
5,0.995726,"BEL",2005,2
10,0.995109,"BEL",2005,2
15,0.9947015,"BEL",2005,2
20,0.993689,"BEL",2005,2
25,0.9924385,"BEL",2005,2
30,0.9909235,"BEL",2005,2
35,0.9885465,"BEL",2005,2
40,0.9851585,"BEL",2005,2
45,0.979717,"BEL",2005,2
50,0.970381,"BEL",2005,2
55,0.955377,"BEL",2005,2
60,0.9351295,"BEL",2005,2
65,0.9060025,"BEL",2005,2
70,0.8643095,"BEL",2005,2
75,0.799519,"BEL",2005,2
80,0.692911,"BEL",2005,2
85,0.521043,"BEL",2005,2
90,0.2951635,"BEL",2005,2
95,0.105917,"BEL",2005,2
100,0.019697,"BEL",2005,2
105,0.0017465,"BEL",2005,2
0,1,"BEL",2006,1
1,0.996336,"BEL",2006,1
5,0.99468,"BEL",2006,1
10,0.99405,"BEL",2006,1
15,0.993418,"BEL",2006,1
20,0.991549,"BEL",2006,1
25,0.987078,"BEL",2006,1
30,0.982489,"BEL",2006,1
35,0.977542,"BEL",2006,1
40,0.970984,"BEL",2006,1
45,0.962013,"BEL",2006,1
50,0.946275,"BEL",2006,1
55,0.923008,"BEL",2006,1
60,0.88768,"BEL",2006,1
65,0.833848,"BEL",2006,1
70,0.761579,"BEL",2006,1
75,0.658225,"BEL",2006,1
80,0.510728,"BEL",2006,1
85,0.328547,"BEL",2006,1
90,0.15399,"BEL",2006,1
95,0.041946,"BEL",2006,1
100,0.006569,"BEL",2006,1
105,0.000762,"BEL",2006,1
0,1,"BEL",2006,2
1,0.996786,"BEL",2006,2
5,0.995494,"BEL",2006,2
10,0.994992,"BEL",2006,2
15,0.994504,"BEL",2006,2
20,0.993415,"BEL",2006,2
25,0.992313,"BEL",2006,2
30,0.990603,"BEL",2006,2
35,0.988196,"BEL",2006,2
40,0.984972,"BEL",2006,2
45,0.979829,"BEL",2006,2
50,0.970673,"BEL",2006,2
55,0.956053,"BEL",2006,2
60,0.935794,"BEL",2006,2
65,0.907222,"BEL",2006,2
70,0.86682,"BEL",2006,2
75,0.80452,"BEL",2006,2
80,0.699674,"BEL",2006,2
85,0.5311,"BEL",2006,2
90,0.305359,"BEL",2006,2
95,0.115099,"BEL",2006,2
100,0.021473,"BEL",2006,2
105,0.001866,"BEL",2006,2
0,1,"BEL",2007,1
1,0.996124,"BEL",2007,1
5,0.994374,"BEL",2007,1
10,0.993875,"BEL",2007,1
15,0.993235,"BEL",2007,1
20,0.990916,"BEL",2007,1
25,0.986076,"BEL",2007,1
30,0.981871,"BEL",2007,1
35,0.976865,"BEL",2007,1
40,0.971081,"BEL",2007,1
45,0.962251,"BEL",2007,1
50,0.948141,"BEL",2007,1
55,0.924086,"BEL",2007,1
60,0.888546,"BEL",2007,1
65,0.836859,"BEL",2007,1
70,0.764865,"BEL",2007,1
75,0.664622,"BEL",2007,1
80,0.51958,"BEL",2007,1
85,0.339597,"BEL",2007,1
90,0.161096,"BEL",2007,1
95,0.046275,"BEL",2007,1
100,0.007694,"BEL",2007,1
105,0.000117,"BEL",2007,1
0,1,"BEL",2007,2
1,0.997126,"BEL",2007,2
5,0.99589,"BEL",2007,2
10,0.995561,"BEL",2007,2
15,0.99489,"BEL",2007,2
20,0.993804,"BEL",2007,2
25,0.99225,"BEL",2007,2
30,0.990705,"BEL",2007,2
35,0.988385,"BEL",2007,2
40,0.984853,"BEL",2007,2
45,0.979514,"BEL",2007,2
50,0.970014,"BEL",2007,2
55,0.954874,"BEL",2007,2
60,0.934238,"BEL",2007,2
65,0.905734,"BEL",2007,2
70,0.865262,"BEL",2007,2
75,0.802601,"BEL",2007,2
80,0.699933,"BEL",2007,2
85,0.5357,"BEL",2007,2
90,0.312857,"BEL",2007,2
95,0.117262,"BEL",2007,2
100,0.024974,"BEL",2007,2
105,0.002341,"BEL",2007,2
0,1,"BEL",2008,1
1,0.9963735,"BEL",2008,1
5,0.9949685,"BEL",2008,1
10,0.9944515,"BEL",2008,1
15,0.993865,"BEL",2008,1
20,0.991731,"BEL",2008,1
25,0.987608,"BEL",2008,1
30,0.983331,"BEL",2008,1
35,0.978589,"BEL",2008,1
40,0.972572,"BEL",2008,1
45,0.9636105,"BEL",2008,1
50,0.9491865,"BEL",2008,1
55,0.9247855,"BEL",2008,1
60,0.888355,"BEL",2008,1
65,0.835276,"BEL",2008,1
70,0.7630825,"BEL",2008,1
75,0.664913,"BEL",2008,1
80,0.5233085,"BEL",2008,1
85,0.342832,"BEL",2008,1
90,0.162291,"BEL",2008,1
95,0.0455425,"BEL",2008,1
100,0.006484,"BEL",2008,1
105,0.0003605,"BEL",2008,1
0,1,"BEL",2008,2
1,0.997107,"BEL",2008,2
5,0.995996,"BEL",2008,2
10,0.995569,"BEL",2008,2
15,0.995103,"BEL",2008,2
20,0.9939115,"BEL",2008,2
25,0.992583,"BEL",2008,2
30,0.990925,"BEL",2008,2
35,0.9888975,"BEL",2008,2
40,0.9856845,"BEL",2008,2
45,0.9803835,"BEL",2008,2
50,0.9715065,"BEL",2008,2
55,0.95694,"BEL",2008,2
60,0.9358645,"BEL",2008,2
65,0.9070845,"BEL",2008,2
70,0.866047,"BEL",2008,2
75,0.804632,"BEL",2008,2
80,0.70465,"BEL",2008,2
